30+ minutes cardio,Track your calories,15 minute core strength workout,No added sugar for the day,30+ minutes resistance training
"10,000 steps",Log your water intake (aim for 100+ oz),Find health/fitness article & share a summary,Make a healthy breakfast,15 minute HIIT circuit
20+ minutes cardio,25+ minute walk,Free,45+ minutes resistance training,Yoga routine
Eat a healthy salad,Get active in an unusual place,Train with a buddy,No processed foods,"15,000 steps"
Max tricep dips,30+ minutes resistance training,Try a protein drink & share your favorite shake recipe,30+ minutes resistance training,Three home cooked healthy meals
,,,,
45+ minutes resistance training,Get active in an unusual place,30+ minutes resistance training,"10,000 steps",15 minute HIIT circuit
No added sugar for the day,Log your water intake (aim for 100+ oz),Train with a buddy,30+ minutes resistance training,Find health/fitness article & share a summary
Three home cooked healthy meals,Yoga routine,Free,30+ minutes resistance training,Track your calories
Eat a healthy salad,"15,000 steps",Try a protein drink & share your favorite shake recipe,30+ minutes cardio,20+ minutes cardio
No processed foods,Max tricep dips,15 minute core strength workout,25+ minute walk,Make a healthy breakfast
,,,,
20+ minutes cardio,30+ minutes resistance training,30+ minutes resistance training,15 minute HIIT circuit,Try a protein drink & share your favorite shake recipe
Track your calories,Get active in an unusual place,Yoga routine,Eat a healthy salad,25+ minute walk
"15,000 steps",Log your water intake (aim for 100+ oz),Free,45+ minutes resistance training,30+ minutes resistance training
15 minute core strength workout,No processed foods,30+ minutes cardio,No added sugar for the day,Max tricep dips
Train with a buddy,Make a healthy breakfast,"10,000 steps",Three home cooked healthy meals,Find health/fitness article & share a summary
,,,,
Make a healthy breakfast,"15,000 steps",25+ minute walk,Eat a healthy salad,15 minute HIIT circuit
Find health/fitness article & share a summary,20+ minutes cardio,Train with a buddy,Max tricep dips,"10,000 steps"
30+ minutes resistance training,Track your calories,Free,Three home cooked healthy meals,Log your water intake (aim for 100+ oz)
15 minute core strength workout,Try a protein drink & share your favorite shake recipe,30+ minutes resistance training,45+ minutes resistance training,30+ minutes resistance training
Yoga routine,No added sugar for the day,30+ minutes cardio,Get active in an unusual place,No processed foods
,,,,
"10,000 steps",Find health/fitness article & share a summary,30+ minutes cardio,45+ minutes resistance training,No added sugar for the day
30+ minutes resistance training,Max tricep dips,Yoga routine,30+ minutes resistance training,"15,000 steps"
No processed foods,Try a protein drink & share your favorite shake recipe,Free,15 minute HIIT circuit,15 minute core strength workout
Make a healthy breakfast,Eat a healthy salad,Train with a buddy,30+ minutes resistance training,Track your calories
25+ minute walk,Get active in an unusual place,20+ minutes cardio,Three home cooked healthy meals,Log your water intake (aim for 100+ oz)
,,,,
"15,000 steps",25+ minute walk,Log your water intake (aim for 100+ oz),Track your calories,30+ minutes resistance training
20+ minutes cardio,No processed foods,Make a healthy breakfast,Three home cooked healthy meals,30+ minutes resistance training
45+ minutes resistance training,30+ minutes cardio,Free,Find health/fitness article & share a summary,Train with a buddy
Try a protein drink & share your favorite shake recipe,Get active in an unusual place,No added sugar for the day,"10,000 steps",15 minute core strength workout
Eat a healthy salad,30+ minutes resistance training,Yoga routine,Max tricep dips,15 minute HIIT circuit
,,,,
Get active in an unusual place,Log your water intake (aim for 100+ oz),30+ minutes resistance training,Try a protein drink & share your favorite shake recipe,Train with a buddy
Eat a healthy salad,30+ minutes resistance training,Three home cooked healthy meals,Track your calories,Max tricep dips
No added sugar for the day,30+ minutes resistance training,Free,45+ minutes resistance training,Make a healthy breakfast
"10,000 steps",25+ minute walk,Find health/fitness article & share a summary,15 minute HIIT circuit,No processed foods
30+ minutes cardio,"15,000 steps",15 minute core strength workout,Yoga routine,20+ minutes cardio
,,,,
"15,000 steps",Train with a buddy,No processed foods,15 minute HIIT circuit,Max tricep dips
Make a healthy breakfast,Yoga routine,Get active in an unusual place,45+ minutes resistance training,30+ minutes cardio
Find health/fitness article & share a summary,Eat a healthy salad,Free,"10,000 steps",15 minute core strength workout
No added sugar for the day,30+ minutes resistance training,25+ minute walk,Log your water intake (aim for 100+ oz),30+ minutes resistance training
Three home cooked healthy meals,Track your calories,30+ minutes resistance training,Try a protein drink & share your favorite shake recipe,20+ minutes cardio
,,,,
45+ minutes resistance training,15 minute HIIT circuit,"10,000 steps",15 minute core strength workout,"15,000 steps"
30+ minutes cardio,30+ minutes resistance training,Max tricep dips,20+ minutes cardio,Find health/fitness article & share a summary
25+ minute walk,Make a healthy breakfast,Free,Eat a healthy salad,30+ minutes resistance training
Three home cooked healthy meals,Try a protein drink & share your favorite shake recipe,No processed foods,30+ minutes resistance training,No added sugar for the day
Log your water intake (aim for 100+ oz),Track your calories,Train with a buddy,Yoga routine,Get active in an unusual place
,,,,
20+ minutes cardio,15 minute HIIT circuit,Train with a buddy,Max tricep dips,"15,000 steps"
25+ minute walk,No processed foods,Make a healthy breakfast,30+ minutes resistance training,Try a protein drink & share your favorite shake recipe
Eat a healthy salad,Three home cooked healthy meals,Free,Log your water intake (aim for 100+ oz),Yoga routine
Track your calories,45+ minutes resistance training,"10,000 steps",30+ minutes resistance training,Get active in an unusual place
No added sugar for the day,Find health/fitness article & share a summary,30+ minutes cardio,15 minute core strength workout,30+ minutes resistance training
